Country,Age,Gender,OccupationDescription,Salary,Industry,WorkRemote,EnjoyWorkRemote,WhereWorkRemote,WeeklyWorkHours
Germany,< 20,1,Student,Student / Unemployed,Student,Occasionally,"I like it, though I like visiting the office occasionally",A home office,0
Turkey,25-29,1,Full-Stack Web Developer,"$20,000 - $40,000",Consulting,Occasionally,I love it,A home office,50
Germany,30-34,1,Full-Stack Web Developer,Rather not say,Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,41
India,30-34,1,Manager of Developers or Team Leader,"$20,000 - $40,000",Software Products,Occasionally,I'm neutral about it,My couch,61
Russia,25-29,1,Full-Stack Web Developer,"$80,000 - $100,000",Web Services,Full-time Remote,"I like it, though I like visiting the office occasionally",My couch,0
Egypt,20-24,1,Mobile Application Developer,"<$20,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,60
United Kingdom,40-50,1,IT Staff / System Administrator,"$40,000 - $60,000",Retail,Occasionally,"I like it, though I like visiting the office occasionally",A home office,52
South Africa,35-39,1,Other,"$20,000 - $40,000",Other,Part-time Remote,"I like it, though I like visiting the office occasionally",A coffee shop,22
United Kingdom,40-50,1,Manager of Developers or Team Leader,"$120,000 - $140,000",Healthcare,Occasionally,"I like it, though I like visiting the office occasionally",A home office,45
India,25-29,1,Mobile Application Developer,Rather not say,Software Products,Occasionally,I'm neutral about it,My couch,97
France,25-29,1,Student,"$20,000 - $40,000",Student,Occasionally,"I like it, though I like visiting the office occasionally",My couch,44
India,20-24,1,Front-End Web Developer,"<$20,000",Web Services,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,110
Poland,30-34,1,Full-Stack Web Developer,"<$20,000",Healthcare,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,46
India,25-29,1,Full-Stack Web Developer,"$100,000 - $120,000",Software Products,Never,,,26
United Kingdom,< 20,1,Mobile Application Developer,Student / Unemployed,Education,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,12
India,20-24,1,Desktop Software Developer,"<$20,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",My couch,34
Brazil,25-29,0,Full-Stack Web Developer,"<$20,000",Software Products,Never,,,36
United Kingdom,35-39,1,Desktop Software Developer,Rather not say,Software Products,Never,,,54
Malaysia,25-29,1,"Executive (VP of Eng, CTO, CIO, etc.)",Rather not say,Retail,Occasionally,I'm neutral about it,My couch,43
Germany,25-29,1,Student,Student / Unemployed,Student,Occasionally,I'm neutral about it,A home office,0
India,20-24,1,Full-Stack Web Developer,Rather not say,Software Products,Part-time Remote,I'm neutral about it,My couch,43
India,30-34,1,"Executive (VP of Eng, CTO, CIO, etc.)",,Education,Never,,,70
Russia,,,,,,,,,0
Italy,25-29,1,Enterprise Level Services,"$20,000 - $40,000",Foundation / Non-Profit,Occasionally,I'm neutral about it,A home office,35
France,40-50,1,Manager of Developers or Team Leader,"$40,000 - $60,000",Consulting,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,40
United Kingdom,30-34,1,Back-End Web Developer,"$100,000 - $120,000",Web Services,Occasionally,I'm neutral about it,A home office,45
France,25-29,1,Full-Stack Web Developer,"$20,000 - $40,000",Consulting,Never,,,69
United Kingdom,30-34,1,Back-End Web Developer,"$60,000 - $80,000",Software Products,Never,,,44
Poland,20-24,1,DevOps,"$20,000 - $40,000",Advertising,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,29
Japan,30-34,1,Manager of Developers or Team Leader,"$100,000 - $120,000",Software Products,Part-time Remote,I'm neutral about it,A home office,72
Spain,20-24,1,Other,"$20,000 - $40,000",Advertising,Never,,,23
France,25-29,1,Full-Stack Web Developer,"$20,000 - $40,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,70
United Kingdom,25-29,1,Front-End Web Developer,"$20,000 - $40,000",Software Products,Occasionally,I'm neutral about it,A home office,44
India,20-24,1,Mobile Application Developer,"<$20,000",Software Products,Never,,,0
India,25-29,1,Full-Stack Web Developer,"<$20,000",Software Products,Never,,,75
India,20-24,1,Mobile Application Developer,"$40,000 - $60,000",Web Services,Occasionally,I'm neutral about it,My couch,66
Germany,35-39,1,Full-Stack Web Developer,"$40,000 - $60,000",Manufacturing,Occasionally,I'm neutral about it,A home office,62
France,25-29,1,Full-Stack Web Developer,Rather not say,Web Services,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,31
India,20-24,1,Mobile Application Developer,Rather not say,Other,Full-time Remote,I'm neutral about it,A home office,64
India,30-34,1,Full-Stack Web Developer,Rather not say,Consulting,Never,,,42
India,25-29,1,Front-End Web Developer,Rather not say,Software Products,Never,,,44
Poland,25-29,1,Full-Stack Web Developer,"<$20,000",Consulting,Occasionally,I'm neutral about it,A home office,42
South Africa,35-39,1,Full-Stack Web Developer,Rather not say,Retail,Occasionally,I'm neutral about it,My couch,59
Poland,20-24,0,Back-End Web Developer,"<$20,000",Finance / Banking,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,0
France,35-39,1,Full-Stack Web Developer,"$100,000 - $120,000",Other,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,41
Spain,40-50,1,Back-End Web Developer,"$80,000 - $100,000",Consulting,Occasionally,I'm neutral about it,A home office,67
United Kingdom,25-29,1,IT Staff / System Administrator,"$40,000 - $60,000",Consulting,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,46
Australia,< 20,0,I don't work in tech,Student / Unemployed,Not Currently Employed,Never,,,0
Russia,25-29,1,Full-Stack Web Developer,"$40,000 - $60,000",Other,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,44
Romania,30-34,1,Manager of Developers or Team Leader,"<$20,000",Software Products,Full-time Remote,I love it,A home office,62
Switzerland,25-29,1,Other,"$60,000 - $80,000",Student,Occasionally,I'm neutral about it,A home office,0
Denmark,30-34,1,Mobile Application Developer,"$80,000 - $100,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",My couch,37
United Kingdom,40-50,1,Back-End Web Developer,"$60,000 - $80,000",Finance / Banking,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,32
Switzerland,40-50,1,Enterprise Level Services,">$140,000",Consulting,Occasionally,I'm neutral about it,A home office,48
United States,25-29,1,Full-Stack Web Developer,,Government,Occasionally,I'm neutral about it,My couch,33
Poland,25-29,NA,Enterprise Level Services,"$20,000 - $40,000",Healthcare,Occasionally,I love it,My couch,84
Pakistan,< 20,1,Student,,Not Currently Employed,Never,,,20
India,25-29,1,Back-End Web Developer,"<$20,000",Software Products,Occasionally,I love it,A home office,100
Sri Lanka,30-34,1,Full-Stack Web Developer,Rather not say,Software Products,Never,,,69
New Zealand,20-24,1,Full-Stack Web Developer,,Web Services,Part-time Remote,I love it,A home office,38
United States,< 20,1,Student,"<$20,000",Web Services,Occasionally,"I like it, though I like visiting the office occasionally",My couch,31
Germany,25-29,1,Mobile Application Developer,"$40,000 - $60,000",Software Products,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,37
India,30-34,1,Full-Stack Web Developer,Rather not say,Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,84
Estonia,25-29,1,Full-Stack Web Developer,"$60,000 - $80,000",,,,,0
Israel,35-39,1,Back-End Web Developer,"$20,000 - $40,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,109
India,25-29,1,Full-Stack Web Developer,Rather not say,Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,34
United Kingdom,30-34,1,Full-Stack Web Developer,">$140,000",Finance / Banking,Occasionally,I love it,My couch,53
Croatia,< 20,1,Student,Student / Unemployed,Student,Never,,,0
India,25-29,1,Mobile Application Developer,Rather not say,Consulting,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,61
New Zealand,35-39,1,Other,">$140,000",Consulting,Part-time Remote,I love it,A home office,112
Sweden,40-50,1,Desktop Software Developer,"$60,000 - $80,000",Manufacturing,Occasionally,I love it,My couch,54
Germany,40-50,1,Manager of Developers or Team Leader,"$100,000 - $120,000",Other,Part-time Remote,I love it,Other,52
Germany,30-34,1,IT Staff / System Administrator,Rather not say,Education,Never,,,34
United Kingdom,25-29,1,Full-Stack Web Developer,"$60,000 - $80,000",Software Products,Full-time Remote,I'm neutral about it,A home office,64
India,25-29,1,Full-Stack Web Developer,"<$20,000",Web Services,Occasionally,I'm neutral about it,My couch,64
Canada,20-24,1,Student,,Student,Occasionally,,,0
Singapore,25-29,1,Mobile Application Developer,"$60,000 - $80,000",Other,Occasionally,I'm neutral about it,A home office,59
India,20-24,1,Embedded Application Developer,"<$20,000",Software Products,Never,,,69
Pakistan,20-24,1,Desktop Software Developer,"<$20,000",Other,Never,,,77
Singapore,25-29,1,Mobile Application Developer,"$20,000 - $40,000",Software Products,Never,,,44
India,20-24,1,Desktop Software Developer,Rather not say,Other,Occasionally,I'm neutral about it,A home office,41
Poland,25-29,1,Other,"$20,000 - $40,000",Software Products,Occasionally,I'm neutral about it,A home office,30
Germany,30-34,1,I don't work in tech,Student / Unemployed,Not Currently Employed,Occasionally,I'm neutral about it,My couch,0
Argentina,,,,,,,,,0
Spain,30-34,1,Mobile Application Developer,"$20,000 - $40,000",Other,Never,,,40
Ukraine,,,,,,,,,0
Nepal,25-29,1,Manager of Developers or Team Leader,"<$20,000",Software Products,Never,,,24
France,25-29,1,Back-End Web Developer,"$40,000 - $60,000",Web Services,Never,,,41
Sri Lanka,25-29,1,Front-End Web Developer,"<$20,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,41
United Kingdom,40-50,1,Front-End Web Developer,"$40,000 - $60,000",Education,Part-time Remote,"I like it, though I like visiting the office occasionally",My couch,34
India,25-29,1,Mobile Application Developer,"<$20,000",Software Products,Never,,,90
Netherlands,30-34,1,DevOps,Rather not say,Software Products,Occasionally,"I like it, though I like visiting the office occasionally",My couch,25
Australia,,,,,,,,,0
United States,25-29,1,Front-End Web Developer,"$80,000 - $100,000",Advertising,Occasionally,"I like it, though I like visiting the office occasionally",A home office,41
Turkey,30-34,1,Full-Stack Web Developer,"<$20,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,61
Spain,25-29,1,Back-End Web Developer,"$20,000 - $40,000",Software Products,Part-time Remote,I love it,A home office,69
Ukraine,20-24,1,Desktop Software Developer,,Healthcare,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,44
India,20-24,1,Mobile Application Developer,"<$20,000",Web Services,Never,,,21
India,20-24,1,Front-End Web Developer,Rather not say,Software Products,Occasionally,I'm neutral about it,A home office,22
Australia,20-24,1,"Executive (VP of Eng, CTO, CIO, etc.)",Rather not say,Software Products,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,19
India,20-24,1,Back-End Web Developer,"<$20,000",Consulting,Never,,,46
Italy,35-39,1,Desktop Software Developer,,Manufacturing,Never,,,2
Malaysia,30-34,1,Back-End Web Developer,Rather not say,Other,Never,,,20
United States,30-34,0,Full-Stack Web Developer,"$60,000 - $80,000",Consulting,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,49
Russia,20-24,1,Back-End Web Developer,"<$20,000",Finance / Banking,Occasionally,I love it,A home office,76
Argentina,,,,,,,,,0
Russia,25-29,1,Manager of Developers or Team Leader,"$20,000 - $40,000",Software Products,Never,,,49
Australia,25-29,1,Desktop Software Developer,"$60,000 - $80,000",Consulting,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,71
India,25-29,1,Full-Stack Web Developer,"<$20,000",Software Products,Never,,,50
United Kingdom,30-34,1,Desktop Software Developer,">$140,000",Finance / Banking,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,110
India,20-24,0,Back-End Web Developer,Rather not say,Advertising,Never,,,46
India,30-34,1,Manager of Developers or Team Leader,Rather not say,Software Products,Occasionally,I hate it,Other,16
Canada,35-39,1,Full-Stack Web Developer,"$100,000 - $120,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,41
United States,30-34,1,Full-Stack Web Developer,"$60,000 - $80,000",Foundation / Non-Profit,Occasionally,I'm neutral about it,A home office,41
India,25-29,1,Student,"<$20,000",Education,Part-time Remote,I love it,A home office,32
India,20-24,1,Front-End Web Developer,"<$20,000",Software Products,Never,,,20
Bangladesh,25-29,1,Full-Stack Web Developer,"<$20,000",Software Products,Full-time Remote,It's not my preference. I'd prefer to be in an office,A home office,65
India,25-29,1,Full-Stack Web Developer,"$20,000 - $40,000",Software Products,Occasionally,I'm neutral about it,My couch,49
India,25-29,1,Full-Stack Web Developer,"$20,000 - $40,000",Retail,Never,,,80
India,20-24,1,Embedded Application Developer,Rather not say,Software Products,Never,,,44
United States,< 20,1,Student,Student / Unemployed,Student,Never,,,27
India,25-29,1,Mobile Application Developer,Rather not say,Web Services,Never,,,0
India,25-29,NA,Other,Rather not say,Software Products,Occasionally,I'm neutral about it,A home office,61
Israel,40-50,1,Mobile Application Developer,,Education,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,37
United Kingdom,35-39,1,Full-Stack Web Developer,"<$20,000",Consulting,Never,,,56
India,20-24,1,Mobile Application Developer,,Software Products,Never,,,43
United States,20-24,1,Mobile Application Developer,"$40,000 - $60,000",Other,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,62
Norway,35-39,1,Full-Stack Web Developer,"$80,000 - $100,000",Web Services,Occasionally,"I like it, though I like visiting the office occasionally",A home office,95
Bangladesh,25-29,1,Full-Stack Web Developer,,Software Products,Never,,,49
United Arab Emirates,30-34,1,Enterprise Level Services,"$40,000 - $60,000",Software Products,Never,,,74
South Africa,35-39,1,Back-End Web Developer,Rather not say,Finance / Banking,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,51
United States,35-39,1,Enterprise Level Services,"$100,000 - $120,000",Other,Never,,,46
India,,,,,,,,,0
India,< 20,1,Student,Student / Unemployed,Web Services,Part-time Remote,I'm neutral about it,A home office,52
United States,35-39,1,Full-Stack Web Developer,Rather not say,Consulting,Never,,,51
India,25-29,0,Back-End Web Developer,"<$20,000",Consulting,Never,,,55
Thailand,25-29,1,Mobile Application Developer,Rather not say,Gaming,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,23
Singapore,35-39,1,Other,"$100,000 - $120,000",Retail,Occasionally,"I like it, though I like visiting the office occasionally",My couch,33
India,25-29,1,Manager of Developers or Team Leader,"<$20,000",Software Products,Never,,,62
Australia,35-39,NA,IT Staff / System Administrator,">$140,000",Web Services,Never,,,51
Singapore,40-50,1,Full-Stack Web Developer,"$40,000 - $60,000",Government,Occasionally,I'm neutral about it,Other,61
India,25-29,1,Manager of Developers or Team Leader,"$60,000 - $80,000",Web Services,Occasionally,I'm neutral about it,Other,17
India,20-24,1,Desktop Software Developer,"<$20,000",Finance / Banking,Never,,,41
Lithuania,30-34,1,Back-End Web Developer,"$20,000 - $40,000",Software Products,Never,,,36
India,20-24,1,Full-Stack Web Developer,"<$20,000",Web Services,Never,,,58
Thailand,51-60,1,Enterprise Level Services,"$20,000 - $40,000",Finance / Banking,Occasionally,I'm neutral about it,A home office,49
Iran,20-24,1,Front-End Web Developer,,Web Services,Part-time Remote,I love it,A home office,85
United States,35-39,1,Full-Stack Web Developer,"$80,000 - $100,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,52
India,20-24,1,Full-Stack Web Developer,"<$20,000",Healthcare,Occasionally,"I like it, though I like visiting the office occasionally",A home office,36
India,40-50,1,"Executive (VP of Eng, CTO, CIO, etc.)","$60,000 - $80,000",Finance / Banking,Never,,,6
United States,25-29,1,Desktop Software Developer,"$120,000 - $140,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,79
United States,20-24,1,Student,Student / Unemployed,Student,Part-time Remote,I'm neutral about it,My couch,19
Singapore,,,,,,,,,0
United States,25-29,1,Full-Stack Web Developer,"$40,000 - $60,000",Software Products,Never,,,79
India,20-24,1,Full-Stack Web Developer,"<$20,000",Software Products,Never,,,54
United States,25-29,1,Mobile Application Developer,,Healthcare,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,54
Malaysia,25-29,1,Front-End Web Developer,,Software Products,Occasionally,I'm neutral about it,My couch,67
India,25-29,0,Front-End Web Developer,Rather not say,Software Products,Never,It's not my preference. I'd prefer to be in an office,,28
Australia,25-29,1,Full-Stack Web Developer,">$140,000",Software Products,Occasionally,I'm neutral about it,A home office,44
Canada,20-24,1,Desktop Software Developer,"<$20,000",Software Products,Never,,,44
Algeria,,,,,,,,,0
Bangladesh,25-29,1,Full-Stack Web Developer,Rather not say,Finance / Banking,Never,,,43
Algeria,25-29,0,Desktop Software Developer,"<$20,000",Government,Never,,,142
United States,20-24,1,Back-End Web Developer,Student / Unemployed,Web Services,Occasionally,"I like it, though I like visiting the office occasionally",Other,35
United States,< 20,1,Student,Student / Unemployed,Student,Part-time Remote,I'm neutral about it,A home office,33
United States,35-39,1,Enterprise Level Services,"$100,000 - $120,000",Consulting,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,59
United States,< 20,1,Full-Stack Web Developer,"$60,000 - $80,000",Web Services,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,44
India,25-29,1,Full-Stack Web Developer,,Software Products,Never,,,19
United States,25-29,1,Back-End Web Developer,"$120,000 - $140,000",Web Services,Occasionally,"I like it, though I like visiting the office occasionally",A home office,53
United States,< 20,1,Student,Student / Unemployed,Student,Part-time Remote,"I like it, though I like visiting the office occasionally",My couch,13
United States,35-39,1,Full-Stack Web Developer,"$100,000 - $120,000",Other,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,82
Chile,25-29,1,Full-Stack Web Developer,"$40,000 - $60,000",Consulting,Full-time Remote,I love it,A co-working space,64
China,25-29,1,Student,"<$20,000",Student,Occasionally,I'm neutral about it,Other,77
China,20-24,1,Front-End Web Developer,"<$20,000",Web Services,Never,,,23
India,,,,,,,,,0
New Zealand,35-39,1,Enterprise Level Services,"$100,000 - $120,000",Finance / Banking,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,38
United Kingdom,< 20,1,Back-End Web Developer,"$40,000 - $60,000",Government,Never,,,44
United States,35-39,1,Full-Stack Web Developer,Rather not say,Healthcare,Part-time Remote,I love it,A home office,50
Argentina,25-29,1,Front-End Web Developer,Student / Unemployed,Other,Occasionally,I'm neutral about it,,0
United States,30-34,1,Full-Stack Web Developer,"$40,000 - $60,000",Software Products,Never,,,46
United States,< 20,1,Front-End Web Developer,Student / Unemployed,Student,Occasionally,I'm neutral about it,A home office,27
Venezuela,30-34,1,Mobile Application Developer,,Software Products,Full-time Remote,I'm neutral about it,A home office,97
United States,< 20,1,Mobile Application Developer,Student / Unemployed,Student,Full-time Remote,I love it,A home office,43
Germany,25-29,1,Full-Stack Web Developer,"$100,000 - $120,000",Software Products,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,61
Canada,25-29,1,Other,"$60,000 - $80,000",Web Services,Never,,,60
Australia,35-39,1,I don't work in tech,"$120,000 - $140,000",Healthcare,Never,,,0
United Kingdom,30-34,1,Back-End Web Developer,"$80,000 - $100,000",Advertising,Occasionally,I'm neutral about it,My couch,42
Austria,35-39,1,Desktop Software Developer,Rather not say,Education,Occasionally,,,0
United States,25-29,1,"Executive (VP of Eng, CTO, CIO, etc.)","$100,000 - $120,000",Retail,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,49
United States,25-29,1,Full-Stack Web Developer,Student / Unemployed,Web Services,Occasionally,I love it,My couch,0
Canada,20-24,1,Enterprise Level Services,Rather not say,Advertising,Occasionally,It's not my preference. I'd prefer to be in an office,Other,105
Germany,35-39,1,Full-Stack Web Developer,"$40,000 - $60,000",Software Products,Never,,,43
Canada,25-29,1,Full-Stack Web Developer,"$40,000 - $60,000",Consulting,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,54
Sweden,30-34,1,Full-Stack Web Developer,Rather not say,Retail,Occasionally,"I like it, though I like visiting the office occasionally",A home office,0
Ecuador,25-29,1,Full-Stack Web Developer,"$20,000 - $40,000",Web Services,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,36
Germany,20-24,1,Full-Stack Web Developer,Student / Unemployed,Student,Part-time Remote,I love it,A home office,23
United States,20-24,1,Full-Stack Web Developer,"$60,000 - $80,000",Manufacturing,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,34
Austria,30-34,1,Student,Rather not say,Student,Part-time Remote,It's not my preference. I'd prefer to be in an office,My couch,38
United States,30-34,1,Manager of Developers or Team Leader,Rather not say,Education,Occasionally,It's not my preference. I'd prefer to be in an office,A coffee shop,37
United States,< 20,NA,Student,Student / Unemployed,Not Currently Employed,Never,,,0
Israel,25-29,1,Other,"$40,000 - $60,000",Other,Never,,,60
France,40-50,1,Other,Rather not say,Education,Never,,,27
United States,30-34,1,Mobile Application Developer,Student / Unemployed,Student,Full-time Remote,I love it,My couch,0
Australia,30-34,1,Full-Stack Web Developer,"$60,000 - $80,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",My couch,54
United States,40-50,1,Desktop Software Developer,"$60,000 - $80,000",Other,Occasionally,"I like it, though I like visiting the office occasionally",A home office,52
United States,25-29,1,Student,Student / Unemployed,Not Currently Employed,Part-time Remote,I'm neutral about it,A home office,0
Greece,25-29,1,Back-End Web Developer,"<$20,000",Web Services,Full-time Remote,I hate it,A home office,14
Germany,35-39,1,Full-Stack Web Developer,"$60,000 - $80,000",Web Services,Occasionally,"I like it, though I like visiting the office occasionally",A co-working space,52
United States,< 20,1,Front-End Web Developer,Student / Unemployed,Not Currently Employed,Never,,,87
United States,20-24,1,Full-Stack Web Developer,"$80,000 - $100,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,59
Italy,35-39,1,IT Staff / System Administrator,"$20,000 - $40,000",Education,Occasionally,"I like it, though I like visiting the office occasionally",Other,38
Canada,30-34,1,Full-Stack Web Developer,"$40,000 - $60,000",Education,Occasionally,I'm neutral about it,Other,44
Switzerland,20-24,1,Full-Stack Web Developer,"$80,000 - $100,000",Web Services,Occasionally,"I like it, though I like visiting the office occasionally",A coffee shop,75
United States,40-50,0,Full-Stack Web Developer,"$60,000 - $80,000",Consulting,Occasionally,I love it,A home office,49
Costa Rica,30-34,1,Manager of Developers or Team Leader,"$20,000 - $40,000",Software Products,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,56
United States,< 20,1,Student,Student / Unemployed,Software Products,Part-time Remote,I love it,A home office,33
United States,< 20,1,Mobile Application Developer,"<$20,000",Software Products,Part-time Remote,I love it,My couch,36
Belarus,30-34,1,Manager of Developers or Team Leader,"$20,000 - $40,000",Other,Never,,,51
Norway,25-29,1,Other,"$100,000 - $120,000",Other,Occasionally,I'm neutral about it,A co-working space,30
Germany,20-24,1,IT Staff / System Administrator,Student / Unemployed,Not Currently Employed,Occasionally,I love it,A home office,0
United States,30-34,1,Full-Stack Web Developer,"$120,000 - $140,000",Software Products,Occasionally,I love it,A home office,45
United States,40-50,1,Full-Stack Web Developer,"$80,000 - $100,000",Other,Occasionally,I'm neutral about it,My couch,53
Egypt,,,,,,,,,0
Australia,20-24,1,Back-End Web Developer,"$40,000 - $60,000",Government,Never,,,43
Israel,25-29,1,Desktop Software Developer,Student / Unemployed,Not Currently Employed,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,0
Colombia,20-24,1,Student,Rather not say,Web Services,Full-time Remote,I love it,A home office,40
United States,51-60,1,Enterprise Level Services,Rather not say,Web Services,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,42
Czech Republic,30-34,1,"Executive (VP of Eng, CTO, CIO, etc.)",Rather not say,Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,Other,62
Ukraine,25-29,1,Full-Stack Web Developer,"$20,000 - $40,000",Other,Occasionally,"I like it, though I like visiting the office occasionally",A home office,54
Germany,20-24,1,Student,Student / Unemployed,Student,Never,,,0
El Salvador,25-29,1,Full-Stack Web Developer,"<$20,000",Retail,Never,,,51
United States,40-50,1,I don't work in tech,Rather not say,Other,Never,,,0
Uruguay,25-29,1,Full-Stack Web Developer,"$20,000 - $40,000",Finance / Banking,Occasionally,"I like it, though I like visiting the office occasionally",My couch,100
United States,35-39,1,Mobile Application Developer,"$80,000 - $100,000",Healthcare,Full-time Remote,I love it,A home office,38
Israel,25-29,1,"Executive (VP of Eng, CTO, CIO, etc.)","$40,000 - $60,000",Software Products,Part-time Remote,I love it,My couch,0
United States,20-24,1,Full-Stack Web Developer,"$60,000 - $80,000",Government,Never,,,49
United States,20-24,1,I don't work in tech,Student / Unemployed,Not Currently Employed,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,0
United States,20-24,1,Full-Stack Web Developer,"$40,000 - $60,000",Government,Never,,,49
Germany,30-34,1,Student,"<$20,000",Student,Part-time Remote,I'm neutral about it,My couch,56
United States,20-24,1,Student,Student / Unemployed,Student,Never,,,0
Iran,20-24,1,Back-End Web Developer,"<$20,000",Software Products,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,56
United Kingdom,30-34,1,Mobile Application Developer,"$60,000 - $80,000",Software Products,Never,,,44
Argentina,30-34,1,Full-Stack Web Developer,"$60,000 - $80,000",Other,Full-time Remote,I love it,A home office,43
Ireland,25-29,1,Student,Student / Unemployed,Student,Never,,,0
Canada,25-29,1,Other,"$60,000 - $80,000",Advertising,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,0
Austria,25-29,0,Student,Student / Unemployed,Not Currently Employed,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,0
Switzerland,35-39,1,Full-Stack Web Developer,"$120,000 - $140,000",Government,Occasionally,I'm neutral about it,A home office,44
United States,20-24,1,Student,Student / Unemployed,Student,Never,,,0
Ireland,35-39,1,I don't work in tech,"$100,000 - $120,000",Consulting,Never,,,0
Ireland,40-50,1,Manager of Developers or Team Leader,Rather not say,Software Products,Occasionally,I'm neutral about it,My couch,65
Netherlands,25-29,1,Other,"$60,000 - $80,000",Education,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,56
New Zealand,30-34,1,Desktop Software Developer,"$40,000 - $60,000",Healthcare,Never,,,31
France,25-29,1,DevOps,"$20,000 - $40,000",Consulting,Never,,,66
United States,30-34,1,I don't work in tech,"$40,000 - $60,000",Healthcare,Part-time Remote,"I like it, though I like visiting the office occasionally",A coffee shop,32
Denmark,35-39,1,Other,"$120,000 - $140,000",Consulting,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,43
Russia,20-24,0,Other,Student / Unemployed,Not Currently Employed,Never,,,0
United States,< 20,1,Student,Student / Unemployed,Student,Never,,,0
Bulgaria,30-34,1,Mobile Application Developer,"$20,000 - $40,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,49
Netherlands,35-39,1,Desktop Software Developer,"$80,000 - $100,000",Manufacturing,Occasionally,I'm neutral about it,A home office,0
Turkey,25-29,1,Back-End Web Developer,"<$20,000",Software Products,Never,,,40
Poland,30-34,1,Full-Stack Web Developer,"$60,000 - $80,000",Software Products,Never,,,67
Czech Republic,25-29,1,Mobile Application Developer,,Software Products,Part-time Remote,I love it,A home office,61
Italy,30-34,1,Full-Stack Web Developer,Rather not say,Software Products,Part-time Remote,I love it,A home office,16
Germany,51-60,1,Other,,Consulting,Part-time Remote,,,90
Lebanon,25-29,1,Mobile Application Developer,"$20,000 - $40,000",Software Products,Never,,,66
United States,51-60,0,I don't work in tech,"$100,000 - $120,000",Education,Part-time Remote,I'm neutral about it,My couch,19
New Zealand,20-24,1,Mobile Application Developer,"$20,000 - $40,000",Software Products,Occasionally,I love it,A home office,46
United Kingdom,< 20,1,Student,Student / Unemployed,Student,Full-time Remote,I love it,My couch,54
United States,,,,,,,,,0
Russia,20-24,1,Back-End Web Developer,"$20,000 - $40,000",Other,Occasionally,"I like it, though I like visiting the office occasionally",My couch,49
